,Data,Time,con_sk
0,01.01.2019,0:00:00,583.0
1,01.01.2019,1:00:00,523.0
2,01.01.2019,2:00:00,487.0
3,01.01.2019,3:00:00,470.0
4,01.01.2019,4:00:00,434.0
5,01.01.2019,5:00:00,593.0044578888712
6,01.01.2019,6:00:00,416.0
7,01.01.2019,7:00:00,403.0
8,01.01.2019,8:00:00,418.0
9,01.01.2019,9:00:00,416.0
10,01.01.2019,10:00:00,489.0
11,01.01.2019,11:00:00,470.0
12,01.01.2019,12:00:00,497.0
13,01.01.2019,13:00:00,486.0
14,01.01.2019,14:00:00,496.0
15,01.01.2019,15:00:00,458.0
16,01.01.2019,16:00:00,511.0
17,01.01.2019,17:00:00,593.0044578888712
18,01.01.2019,18:00:00,550.0
19,01.01.2019,19:00:00,576.0
20,01.01.2019,20:00:00,582.0
21,01.01.2019,21:00:00,614.0
22,01.01.2019,22:00:00,578.0
23,01.01.2019,23:00:00,533.0
24,02.01.2019,0:00:00,557.0
25,02.01.2019,1:00:00,611.0
26,02.01.2019,2:00:00,502.0
27,02.01.2019,3:00:00,471.0
28,02.01.2019,4:00:00,441.0
29,02.01.2019,5:00:00,419.0
30,02.01.2019,6:00:00,409.0
31,02.01.2019,7:00:00,427.0
32,02.01.2019,8:00:00,541.0
33,02.01.2019,9:00:00,481.0
34,02.01.2019,10:00:00,516.0
35,02.01.2019,11:00:00,483.0
36,02.01.2019,12:00:00,556.0
37,02.01.2019,13:00:00,501.0
38,02.01.2019,14:00:00,535.0
39,02.01.2019,15:00:00,533.0
40,02.01.2019,16:00:00,532.0
41,02.01.2019,17:00:00,584.0
42,02.01.2019,18:00:00,570.0
43,02.01.2019,19:00:00,587.0
44,02.01.2019,20:00:00,611.0
45,02.01.2019,21:00:00,677.0
46,02.01.2019,22:00:00,578.0
47,02.01.2019,23:00:00,559.0
48,03.01.2019,0:00:00,534.0
49,03.01.2019,1:00:00,578.0
50,03.01.2019,2:00:00,522.0
51,03.01.2019,3:00:00,519.0
52,03.01.2019,4:00:00,482.0
53,03.01.2019,5:00:00,499.0
54,03.01.2019,6:00:00,503.0
55,03.01.2019,7:00:00,554.0
56,03.01.2019,8:00:00,604.0
57,03.01.2019,9:00:00,629.0
58,03.01.2019,10:00:00,628.0
59,03.01.2019,11:00:00,638.0
60,03.01.2019,12:00:00,643.0
61,03.01.2019,13:00:00,609.0
62,03.01.2019,14:00:00,580.0
63,03.01.2019,15:00:00,587.0
64,03.01.2019,16:00:00,618.0
65,03.01.2019,17:00:00,620.0
66,03.01.2019,18:00:00,693.0
67,03.01.2019,19:00:00,708.0
68,03.01.2019,20:00:00,739.0
69,03.01.2019,21:00:00,727.0
70,03.01.2019,22:00:00,711.0
71,03.01.2019,23:00:00,671.0
72,04.01.2019,0:00:00,608.0
73,04.01.2019,1:00:00,579.0
74,04.01.2019,2:00:00,560.0
75,04.01.2019,3:00:00,563.0
76,04.01.2019,4:00:00,528.0
77,04.01.2019,5:00:00,532.0
78,04.01.2019,6:00:00,535.0
